2018-06-14 17:44:16.130000,QYQY21015
2018-06-14 17:44:53.409000,QYQY04811
2018-06-14 17:46:43.481000,QYQY03690
2018-06-14 17:47:25.733000,QYQY04917
2018-06-14 17:48:24.718000,QYQY03328
2018-06-14 17:51:29.240000,QYQY13807
2018-06-14 18:20:40.384000,QYQY05695
2018-06-14 18:26:05.438000,QYQY17625
2018-06-14 19:08:43.144000,QYQY17444
2018-06-14 21:18:54.989000,QYQY17151
2018-06-14 22:32:09.489000,QYQY03536
2018-06-14 22:56:53.077000,QYQY11500
2018-06-14 23:37:29.213000,QYQY05531
2018-06-15 00:04:51.171000,QYQY14589
2018-06-15 02:14:13.651000,QYQY10598
2018-06-15 06:44:53.381000,QYQY22138
2018-06-15 07:58:40.201000,QYQY05304
2018-06-15 08:20:29.337000,QYQY14681
2018-06-15 08:38:13.026000,QYQY06212
2018-06-15 09:04:06.712000,QYQY22009
2018-06-15 09:37:52.098000,QYQY02771
2018-06-15 10:02:03.174000,QYQY13237
2018-06-15 10:17:28.307000,QYQY02678
2018-06-15 10:20:03.870000,QYQY21631
2018-06-15 14:46:58.973000,QYQY09168
2018-06-16 12:01:40.204000,QYQY03866
2018-06-18 09:01:44.531000,QYQY22673
2018-06-18 13:11:33.618000,QYQY01932
2018-06-18 14:39:44.692000,QYQY06013
2018-06-18 18:53:54.293000,QYQY01260
2018-06-19 11:28:12.081000,QYQY21631
2018-06-19 13:58:00.974000,QYQY22748
2018-06-19 22:10:15.580000,QYQY01272
2018-06-20 09:10:32.064000,QYQY22787
2018-06-20 20:04:25.972000,QYQY09868
2018-06-20 21:12:34.955000,QYQY18123
2018-06-20 21:14:21.197000,QYQY18123
2018-06-21 09:46:47.972000,QYQY04610
2018-06-21 10:23:40.710000,QYQY13115
2018-06-21 15:29:08.756000,QYQY06981
2018-06-21 15:30:18.628000,QYQY22906
2018-06-21 16:09:42.961000,QYQY01592
2018-06-21 18:14:13.091000,QYQY10001
2018-06-21 18:16:14.006000,QYQY15146
2018-06-21 19:50:08.914000,QYQY16510
2018-06-21 20:31:23.840000,QYQY21651
2018-06-22 03:38:26.253000,QYQY06414
2018-06-22 11:52:10.733000,QYQY06826
2018-06-22 13:09:11.726000,QYQY01846
2018-06-22 15:26:24.553000,QYQY07704
2018-06-23 16:38:32.049000,QYQY01702
2018-06-24 23:15:48.363000,QYQY01260
2018-06-25 09:42:02.122000,QYQY06013
2018-06-25 11:25:31.510000,QYQY21139
2018-06-25 12:24:26.703000,QYQY11913
2018-06-25 16:21:32.058000,QYQY18308
2018-06-25 17:18:21.056000,QYQY22748
2018-06-25 17:50:11.004000,QYQY05617
2018-06-25 17:50:43.911000,QYQY05554
2018-06-26 14:01:56.501000,QYQY01905
2018-06-27 14:28:44.443000,QYQY21631
2018-06-28 11:08:34.062000,QYQY21631
2018-06-30 16:45:54.800000,QYQY22176
2018-07-02 14:12:45.906000,QYQY12897
2018-07-04 17:36:08.832000,QYQY06826
2018-07-06 10:28:53.629000,QYQY01702
2018-07-07 16:31:12.312000,QYQY02209
2018-07-10 13:53:49.843000,QYQY02678
